ID_Veiculo,Tipo_Veiculo,Data,KM_Rodado,Litros_Combustivel,Custo_Manutencao
V001,Caminhão,2023-01-01,2230.6,309.34,537.75
V001,Caminhão,2023-02-01,2411.36,257.55,659.48
V001,Caminhão,2023-03-01,1593.81,140.25,485.76
V001,Caminhão,2023-04-01,1915.48,176.69,648.48
V001,Caminhão,2023-05-01,3193.47,278.57,351.7
V001,Caminhão,2023-06-01,2105.96,288.94,553.15
V001,Caminhão,2023-07-01,1821.27,256.55,261.2
V001,Caminhão,2023-08-01,1826.5,279.45,559.24
V001,Caminhão,2023-09-01,2610.94,297.18,264.21
V001,Caminhão,2023-10-01,1687.73,152.13,799.43
V001,Caminhão,2023-11-01,1888.72,167.11,224.32
V001,Caminhão,2023-12-01,1994.8,179.57,137.1
V002,Carro,2023-01-01,1653.99,182.51,712.83
V002,Carro,2023-02-01,2081.1,221.41,725.41
V002,Carro,2023-03-01,2147.79,191.12,385.92
V002,Carro,2023-04-01,2438.66,208.95,446.79
V002,Carro,2023-05-01,1542.14,194.46,314.07
V002,Carro,2023-06-01,1901.31,170.84,0.0
V002,Carro,2023-07-01,2231.65,230.5,462.5
V002,Carro,2023-08-01,2974.7,493.54,262.98
V002,Carro,2023-09-01,2729.62,275.59,156.74
V002,Carro,2023-10-01,2108.11,244.79,0.0
V002,Carro,2023-11-01,2328.66,228.43,397.76
V002,Carro,2023-12-01,1642.12,152.3,100.18
V003,Carro,2023-01-01,2237.36,215.86,786.22
V003,Carro,2023-02-01,1780.01,224.66,529.55
V003,Carro,2023-03-01,1206.28,165.17,161.54
V003,Carro,2023-04-01,2214.86,238.92,0.0
V003,Carro,2023-05-01,1484.05,246.47,651.56
V003,Carro,2023-06-01,3131.61,338.32,496.54
V003,Carro,2023-07-01,2060.34,212.11,638.41
V003,Carro,2023-08-01,1761.94,153.97,0.0
V003,Carro,2023-09-01,2724.35,397.71,461.3
V003,Carro,2023-10-01,2337.83,388.82,0.0
V003,Carro,2023-11-01,2263.0,203.08,715.21
V003,Carro,2023-12-01,2171.78,310.35,456.71
V004,Van,2023-01-01,2003.52,181.8,287.49
V004,Van,2023-02-01,2210.26,364.37,105.9
V004,Van,2023-03-01,2103.34,196.11,238.99
V004,Van,2023-04-01,1941.82,244.37,199.31
V004,Van,2023-05-01,1045.52,130.89,335.8
V004,Van,2023-06-01,1961.64,198.01,218.81
V004,Van,2023-07-01,1634.85,269.35,552.02
V004,Van,2023-08-01,2094.02,182.73,714.56
V004,Van,2023-09-01,2300.39,322.27,0.0
V004,Van,2023-10-01,2320.35,382.13,576.64
V004,Van,2023-11-01,2064.25,183.46,174.31
V004,Van,2023-12-01,2505.37,318.85,0.0
V005,Van,2023-01-01,2286.71,297.96,0.0
V005,Van,2023-02-01,2093.04,200.29,333.31
V005,Van,2023-03-01,683.15,80.0,183.88
V005,Van,2023-04-01,1975.85,183.5,0.0
V005,Van,2023-05-01,1626.29,221.77,630.54
V005,Van,2023-06-01,1351.26,159.38,550.16
V005,Van,2023-07-01,1672.98,218.01,0.0
V005,Van,2023-08-01,1114.54,131.57,299.06
V005,Van,2023-09-01,2167.72,247.08,523.98
V005,Van,2023-10-01,2060.89,186.47,657.96
V005,Van,2023-11-01,1923.27,215.71,492.91
V005,Van,2023-12-01,2712.91,240.11,534.23
V006,Caminhão,2023-01-01,2673.21,287.34,106.13
V006,Caminhão,2023-02-01,2210.23,237.36,0.0
V006,Caminhão,2023-03-01,2033.17,336.98,127.43
V006,Caminhão,2023-04-01,2254.53,300.3,433.7
V006,Caminhão,2023-05-01,2310.95,379.63,706.76
V006,Caminhão,2023-06-01,2507.19,234.08,457.05
V006,Caminhão,2023-07-01,1585.31,166.44,391.26
V006,Caminhão,2023-08-01,2271.08,247.99,709.02
V006,Caminhão,2023-09-01,1699.89,196.82,0.0
V006,Caminhão,2023-10-01,1112.08,143.76,605.85
V006,Caminhão,2023-11-01,2551.91,294.2,0.0
V006,Caminhão,2023-12-01,2261.44,325.11,481.48
V007,Van,2023-01-01,1282.81,122.61,106.67
V007,Van,2023-02-01,1900.2,183.77,423.23
V007,Van,2023-03-01,2045.97,277.32,622.78
V007,Van,2023-04-01,1556.67,203.44,347.21
V007,Van,2023-05-01,1803.46,153.46,0.0
V007,Van,2023-06-01,1701.19,148.84,349.85
V007,Van,2023-07-01,1160.63,102.13,779.15
V007,Van,2023-08-01,2008.8,322.95,241.19
V007,Van,2023-09-01,2012.4,308.86,573.28
V007,Van,2023-10-01,2166.4,360.01,0.0
V007,Van,2023-11-01,2069.14,318.47,643.92
V007,Van,2023-12-01,2346.89,209.19,253.15
V008,Van,2023-01-01,2426.16,228.76,570.83
V008,Van,2023-02-01,2512.41,218.72,275.46
V008,Van,2023-03-01,2413.24,221.62,217.16
V008,Van,2023-04-01,1228.73,103.32,467.56
